Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
3193,Karnataka Style Beetroot Palya Recipe,Karnataka Style Beetroot Palya Recipe,"500 grams Beetroot - cut into long strips,4 tablespoons Fresh coconut - grated,4 cloves Garlic,1 Onion - finely chopped,1-1/2 teaspoons Sambar Powder,1 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,1 Dry Red Chilli,1 sprig Curry leaves,2 teaspoons Sunflower Oil,Salt - to taste","500 grams Beetroot - cut into long strips,4 tablespoons Fresh coconut - grated,4 cloves Garlic,1 Onion - finely chopped,1-1/2 teaspoons Sambar Powder,1 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,1 Dry Red Chilli,1 sprig Curry leaves,2 teaspoons Sunflower Oil,Salt - to taste",10,10,20,4,Karnataka,Side Dish,Vegetarian,"To begin making the Karnataka Style Beetroot Palya Recipe, peel the outer skin of the beetroot, cut it into long thin strips and keep aside.Heat oil in a heavy bottomed pan, add the mustard seeds, and let it crackle. Add the asafoetida, red chilli, curry leaves and let it splutter.Add the onions and saute until it turns translucent.Once the onions are translucent, add in the beetroot, season with salt, mix well and cook until the beetroot is half cooked.Add in the sambar masala and, toss well and let the beetroot cook well.Once the beetroot is cooked, pound the grated coconut and garlic cloves using a pestle and mortar, and add it to the pan.Mix well and cook for another 2 minutes and switch off the heat.Serve the delicious Karnataka Style Beetroot Palya Recipe along with Steamed Rice, Keerai Sambar and Elai Vadam for a simple weekday lunch.
","To begin making the Karnataka Style Beetroot Palya Recipe, peel the outer skin of the beetroot, cut it into long thin strips and keep aside.Heat oil in a heavy bottomed pan, add the mustard seeds, and let it crackle. Add the asafoetida, red chilli, curry leaves and let it splutter.Add the onions and saute until it turns translucent.Once the onions are translucent, add in the beetroot, season with salt, mix well and cook until the beetroot is half cooked.Add in the sambar masala and, toss well and let the beetroot cook well.Once the beetroot is cooked, pound the grated coconut and garlic cloves using a pestle and mortar, and add it to the pan.Mix well and cook for another 2 minutes and switch off the heat.Serve the delicious Karnataka Style Beetroot Palya Recipe along with Steamed Rice, Keerai Sambar and Elai Vadam for a simple weekday lunch.
",http://www.archanaskitchen.com/karnataka-style-beetroot-palya-recipe
5284,Moroccan Eggplant And Garbanzo Stew Recipe,Moroccan Eggplant And Garbanzo Stew Recipe,"100 grams Brinjal (Baingan / Eggplant) - cut into small pieces,1.5 cups White garbanzo - boiled,1 Onion - finely chopped,3 Cloves (Laung) - finely chopped,2 Tomatoes - finely choppes,2 cups Vegetable stock,1 teaspoon Paprika powder,1 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Cumin powder (Jeera),1/2 teaspoon White pepper powder,2 teaspoon Extra Virgin Olive Oil,Salt - to taste","100 grams Brinjal (Baingan / Eggplant) - cut into small pieces,1.5 cups White garbanzo - boiled,1 Onion - finely chopped,3 Cloves (Laung) - finely chopped,2 Tomatoes - finely choppes,2 cups Vegetable stock,1 teaspoon Paprika powder,1 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Cumin powder (Jeera),1/2 teaspoon White pepper powder,2 teaspoon Extra Virgin Olive Oil,Salt - to taste",10,30,40,4,African,Main Course,High Protein Vegetarian,"To begin making Eggplant and Garbanzo Stew Recipe, clean and cut the eggplants, and keep it soaked in water until further cooking.Wash and soak the garbanzo (chickpeas) overnight, in the morning pressure cook with enough water for 3 whistles of till al dente and keep aside.Heat olive oil in a pan, add the finely chopped garlic and saute till it turns golden colour.Add the chopped onions and saute until it turns translucent.Drain and add the eggplants and saute for 2 minutes.Add the tomatoes and cook until it turns soft.Once the tomatoes are soft and mushy, add cinnamon, paprika, white pepper powder, cumin powder, and saute until the spices are cooked and releases their flavour into the recipe.Season with salt, add the vegetable stock and bring it to a rolling boil.Add the boiled garbanzo (chickpeas), and simmer for 10 minutes. Switch off the heat when the stew becomes thick and flavourful.Serve the Eggplant and Garbanzo Stew Recipe along with couscous, or steamed rice and Moroccan Fennel, Roasted Beet & Citrus Salad or as a meal in itself for a protein enriched weeknight dinner.
","To begin making Eggplant and Garbanzo Stew Recipe, clean and cut the eggplants, and keep it soaked in water until further cooking.Wash and soak the garbanzo (chickpeas) overnight, in the morning pressure cook with enough water for 3 whistles of till al dente and keep aside.Heat olive oil in a pan, add the finely chopped garlic and saute till it turns golden colour.Add the chopped onions and saute until it turns translucent.Drain and add the eggplants and saute for 2 minutes.Add the tomatoes and cook until it turns soft.Once the tomatoes are soft and mushy, add cinnamon, paprika, white pepper powder, cumin powder, and saute until the spices are cooked and releases their flavour into the recipe.Season with salt, add the vegetable stock and bring it to a rolling boil.Add the boiled garbanzo (chickpeas), and simmer for 10 minutes. Switch off the heat when the stew becomes thick and flavourful.Serve the Eggplant and Garbanzo Stew Recipe along with couscous, or steamed rice and Moroccan Fennel, Roasted Beet & Citrus Salad or as a meal in itself for a protein enriched weeknight dinner.",https://www.archanaskitchen.com/moroccan-eggplant-and-garbanzo-stew-recipe
1464,बेसन और प्याज का चीला रेसिपी - Besan Aur Pyaz Ka Cheela (Recipe In Hindi),Besan Aur Pyaz Ka Cheela (Recipe in Hindi),"1 कप बेसन,1 प्याज - बारीक काट ले,1 छोटा चमच्च सौंफ - पीस ले,हरा धनिया - थोड़ा,नमक - स्वाद अनुसार,ओलिव का तेल - प्रयोग अनुसार,2 हरी मिर्च - बारीक काट ले,Onions - thinly slices,Green Chutney (Coriander & Mint) - for serving","1 कप बेसन,1 प्याज - बारीक काट ले,1 छोटा चमच्च सौंफ - पीस ले,हरा धनिया - थोड़ा,नमक - स्वाद अनुसार,ओलिव का तेल - प्रयोग अनुसार,2 हरी मिर्च - बारीक काट ले,Onions - thinly slices,Green Chutney (Coriander & Mint) - for serving",20,30,50,4,Indian,North Indian Breakfast,High Protein Vegetarian,"बेसन और प्याज का चीला बनाने के लिए तेल को छोड़कर बाकी सारी सामग्री एक बाउल में डाले। धीरे धीरे पानी डाले और अच्छी तरह से मिला ले.सबको अच्छी तरह से मिलाए ताकि इसमें गाठे न पड़े. ज्यादा गाढ़ा या ज्यादा पतला न करे. अब के तवा गरम करें। इसमें एक चमच्च बेसन का घोल डाले और गोल गोल घुमाकर चीला बना ले. चारो साइड में थोड़ा थोड़ा तेल डाले और दोनों तरफ से सुनहरा होने तक पका ले. बाकी घोल के भी चिले बना ले और गरमा गरम परोसे। बेसन और प्याज का चीला को धनिया पुदीना चटनी और मसाला चाय के साथ सुबह के नाश्ते के लिए परोसे.
","To make gram flour and onion cheela, put all the ingredients except oil in a bowl. Slowly add water and mix well. Mix well so that there are no lumps in it. Do not thicken or dilute too much. Now heat the tawa. Add a tablespoon gram flour solution and make a cheela by turning it round and round. Pour some oil on the four sides and cook till it becomes golden from both the sides. Make the rest of the batter also and serve hot. Serve gram flour and onion cheela with coriander mint chutney and masala tea for breakfast.",https://www.archanaskitchen.com/besan-aur-pyaz-ka-cheela-recipe-in-hindi
8163,Mushroom Tikka Masala Dry Recipe,Mushroom Tikka Masala Dry Recipe,"2 cups Button mushrooms - cut into 2,1/2 cup Green Bell Pepper (Capsicum) - cubed,1/2 cup Onion - chopped,1/4 cup Curd (Dahi / Yogurt) - or greek yogurt (hung yogurt),2 tablespoon Gram flour (besan),1 teaspoon Ginger Garlic Paste,1/8 teaspoon Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,2 teaspoon Garam masala powder,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Chaat Masala Powder,1 teaspoon Lemon juice,2 teaspoons Sunflower Oil,Salt - to taste,Kasuri Methi (Dried Fenugreek Leaves)","2 cups Button mushrooms - cut into 2,1/2 cup Green Bell Pepper (Capsicum) - cubed,1/2 cup Onion - chopped,1/4 cup Curd (Dahi / Yogurt) - or greek yogurt (hung yogurt),2 tablespoon Gram flour (besan),1 teaspoon Ginger Garlic Paste,1/8 teaspoon Turmeric powder (Haldi),1 teaspoon Kashmiri Red Chilli Powder,2 teaspoon Garam masala powder,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Chaat Masala Powder,1 teaspoon Lemon juice,2 teaspoons Sunflower Oil,Salt - to taste,Kasuri Methi (Dried Fenugreek Leaves)",5,30,35,4,North Indian Recipes,Lunch,High Protein Vegetarian,"To begin making the Mushroom Tikka Masala Dry Recipe, we will first mix yogurt, besan, red chilli powder, turmeric powder, garam masala, chaat masala powder to form a mixture.Heat a kadai with oil, add ginger and garlic and saute till they soften. Add in onions and bell peppers and saute till the onions turn translucent.Once the onions are softened add mushrooms and cook until all the water is evaporated well. Finally, add in the yogurt besan mixture that was mixed earlier.Mix well and cook until the raw smell goes away and the gravy slightly thickens. Check for salt and sprinkle some kasuri methi and lemon juice and mix well.Finally when the mushroom is cooked well into the gravy, you can switch off the heat and serve hot.Serve the Mushroom Tikka Masala Dry Recipe along with with Pudina Tawa Paratha or Butter Garlic Naan Recipe and Bharma Baingan Aur Pyaz Ki Sabzi Recipe (Spicy Stuffed Brinjals With Onions).
","To begin making the Mushroom Tikka Masala Dry Recipe, we will first mix yogurt, besan, red chilli powder, turmeric powder, garam masala, chaat masala powder to form a mixture.Heat a kadai with oil, add ginger and garlic and saute till they soften. Add in onions and bell peppers and saute till the onions turn translucent.Once the onions are softened add mushrooms and cook until all the water is evaporated well. Finally, add in the yogurt besan mixture that was mixed earlier.Mix well and cook until the raw smell goes away and the gravy slightly thickens. Check for salt and sprinkle some kasuri methi and lemon juice and mix well.Finally when the mushroom is cooked well into the gravy, you can switch off the heat and serve hot.Serve the Mushroom Tikka Masala Dry Recipe along with with Pudina Tawa Paratha or Butter Garlic Naan Recipe and Bharma Baingan Aur Pyaz Ki Sabzi Recipe (Spicy Stuffed Brinjals With Onions).",https://www.archanaskitchen.com/mushroom-tikka-masala-dry-recipe
8177,Thakkali Rasam Recipe - South Indian Tomato Rasam,Thakkali Rasam Recipe - South Indian Tomato Rasam,"25 grams Arhar dal (Split Toor Dal),1 teaspoon Turmeric powder (Haldi),1/2 cup Tamarind Water,5 Tomatoes - roughly chopped,2 cloves Garlic,1/2 teaspoon Cumin powder (Jeera) - roasted,1/2 teaspoon Coriander Powder (Dhania) - roasted,1/2 teaspoon Black pepper powder,1/4 teaspoon Red Chilli powder,Salt - to taste,4 Curry leaves,1/4 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),2 sprig Coriander (Dhania) Leaves - finely chopped","25 grams Arhar dal (Split Toor Dal),1 teaspoon Turmeric powder (Haldi),1/2 cup Tamarind Water,5 Tomatoes - roughly chopped,2 cloves Garlic,1/2 teaspoon Cumin powder (Jeera) - roasted,1/2 teaspoon Coriander Powder (Dhania) - roasted,1/2 teaspoon Black pepper powder,1/4 teaspoon Red Chilli powder,Salt - to taste,4 Curry leaves,1/4 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),2 sprig Coriander (Dhania) Leaves - finely chopped",10,30,40,4,Tamil Nadu,Main Course,Vegetarian,"To begin making the Tomato Rasam Recipe, first cook the toor dal/ yellow split pea dal with 1 cup of water until it becomes very soft. See video recipe of how to cook lentils using pressure cooker.When done, pour the dal into a bowl and whisk it, until it becomes nice and smooth. Set this aside.Puree the raw cut tomatoes in a blender and keep aside.Next, heat ghee in a pressure cooker on medium heat; add the mustard seeds, cumin seeds, garlic and curry leaves. When the mustard seeds begin to crackle, pour in the tomato puree, tamarind water, coriander powder, turmeric powder, cumin powder, asafoetida, pepper and chilli powder.Stir all the masalas together and pressure cook for for one whistle and turn off the heat.Once the pressure has released, open the cooker and add the toor dal. Adjust the consistency of the rasam, by adding 1-1/2 to 2 cups of water. Check the salt and spices and adjust according to taste.Give the rasam a brisk boil. Once it comes to a brisk boil, simmer the Thakali Rasam for 10 minutes on low heat, until you see the Thakali Rasam frothing up.Once you notice the Thakkali Rasam frothing up, turn off the heat. Finally, garnish the Tomato Rasam with freshly chopped coriander leaves. Serve the Thakali Rasam along with hot rice, topped with ghee and a Beetroot Curry or Chow-Chow Curry.
","To begin making the Tomato Rasam Recipe, first cook the toor dal/ yellow split pea dal with 1 cup of water until it becomes very soft. See video recipe of how to cook lentils using pressure cooker.When done, pour the dal into a bowl and whisk it, until it becomes nice and smooth. Set this aside.Puree the raw cut tomatoes in a blender and keep aside.Next, heat ghee in a pressure cooker on medium heat; add the mustard seeds, cumin seeds, garlic and curry leaves. When the mustard seeds begin to crackle, pour in the tomato puree, tamarind water, coriander powder, turmeric powder, cumin powder, asafoetida, pepper and chilli powder.Stir all the masalas together and pressure cook for for one whistle and turn off the heat.Once the pressure has released, open the cooker and add the toor dal. Adjust the consistency of the rasam, by adding 1-1/2 to 2 cups of water. Check the salt and spices and adjust according to taste.Give the rasam a brisk boil. Once it comes to a brisk boil, simmer the Thakali Rasam for 10 minutes on low heat, until you see the Thakali Rasam frothing up.Once you notice the Thakkali Rasam frothing up, turn off the heat. Finally, garnish the Tomato Rasam with freshly chopped coriander leaves. Serve the Thakali Rasam along with hot rice, topped with ghee and a Beetroot Curry or Chow-Chow Curry.",https://www.archanaskitchen.com/thakkali-rasam-recipe-south-indian-tomato-rasam
2591,Spicy Jalapeno Scrambled Eggs Recipe,Spicy Jalapeno Scrambled Eggs Recipe,"5 Whole Eggs - beaten,2 tablespoons Sunflower Oil,2 Onions - chopped finely,8 Cherry tomatoes - deseeded and chopped,2 Pickled Jalapenos - deseeded and cubed finely,1 teaspoon Whole Black Peppercorns - freshly ground,1 teaspoon Salt - adjustable per requirement,2 tablespoon Coriander (Dhania) Leaves - chopped finely","5 Whole Eggs - beaten,2 tablespoons Sunflower Oil,2 Onions - chopped finely,8 Cherry tomatoes - deseeded and chopped,2 Pickled Jalapenos - deseeded and cubed finely,1 teaspoon Whole Black Peppercorns - freshly ground,1 teaspoon Salt - adjustable per requirement,2 tablespoon Coriander (Dhania) Leaves - chopped finely",10,15,25,2,Mexican,World Breakfast,Eggetarian,"To begin making the Spicy Jalapeno Scrambled Eggs recipe, firstly heat oil in a wide pan over medium heat.Add onion, tomato and Jalapeno peppers to the skillet.Cook, stirring them continuously until onions become slightly transparent. Do not overcook as the vegetables will turn mushy.Add beaten eggs and cilantro to the vegetables. Season with salt and pepper.Leave them undisturbed for about 2 minutes, until the eggs form a layer.Fold the eggs occasionally and cook until they are completely cooked. Serve Spicy Jalapeno Scrambled Eggs with toast and a hot cup of tea or coffee for breakfast.Serve Spicy Jalapeno Scrambled Eggs with toast and a hot cup of Beet Latte Recipes or a Cold Coffee Smoothie Recipe for breakfast.
","To begin making the Spicy Jalapeno Scrambled Eggs recipe, firstly heat oil in a wide pan over medium heat.Add onion, tomato and Jalapeno peppers to the skillet.Cook, stirring them continuously until onions become slightly transparent. Do not overcook as the vegetables will turn mushy.Add beaten eggs and cilantro to the vegetables. Season with salt and pepper.Leave them undisturbed for about 2 minutes, until the eggs form a layer.Fold the eggs occasionally and cook until they are completely cooked. Serve Spicy Jalapeno Scrambled Eggs with toast and a hot cup of tea or coffee for breakfast.Serve Spicy Jalapeno Scrambled Eggs with toast and a hot cup of Beet Latte Recipes or a Cold Coffee Smoothie Recipe for breakfast.",https://www.archanaskitchen.com/spicy-jalapeno-scrambled-eggs-recipe
4090,Punjabi Style Tinda Sabzi Recipe,Punjabi Style Tinda Sabzi Recipe,"8 Tinda (Apple Gourd) - peeled,1 Onion - finely chopped,4 cloves Garlic - minced,1 Tomato - chopped,2 tablespoons Tomato - paste,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder - (or as required),1 tablespoon Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),Salt - to taste","8 Tinda (Apple Gourd) - peeled,1 Onion - finely chopped,4 cloves Garlic - minced,1 Tomato - chopped,2 tablespoons Tomato - paste,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder - (or as required),1 tablespoon Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),Salt - to taste",5,15,20,4,Punjabi,Lunch,Vegetarian,"To begin making the Punjabi Style Tinda Sabzi, first heat oil in a heavy bottomed pan.Add the cumin seeds and once they splutter add the garlic, onion and saute till the onion turns translucent.Once done add the chopped tomato, tinde, tomato paste, asafoetida, turmeric powder, salt, red chilli powder and stir.Cook covered till the vegetable becomes soft, stirring once or twice. Add little water if required.When the vegetables are nearly cooked sprinkle cumin powder, coriander powder and garam masala on the sabzi and stir. Cook for about 2 minutes and then turn off the heat.Transfer Punjabi Style Tinda Sabzi and serve hot garnished with coriander leaves. Serve Punjabi Style Tinda Sabzi along with Dal Tadka, Palak Raita and Phulka for a weekday lunch.
","To begin making the Punjabi Style Tinda Sabzi, first heat oil in a heavy bottomed pan.Add the cumin seeds and once they splutter add the garlic, onion and saute till the onion turns translucent.Once done add the chopped tomato, tinde, tomato paste, asafoetida, turmeric powder, salt, red chilli powder and stir.Cook covered till the vegetable becomes soft, stirring once or twice. Add little water if required.When the vegetables are nearly cooked sprinkle cumin powder, coriander powder and garam masala on the sabzi and stir. Cook for about 2 minutes and then turn off the heat.Transfer Punjabi Style Tinda Sabzi and serve hot garnished with coriander leaves. Serve Punjabi Style Tinda Sabzi along with Dal Tadka, Palak Raita and Phulka for a weekday lunch.
",https://www.archanaskitchen.com/punjabi-style-tinda-sabji-recipe
8405,Kalmi Kabab Recipe - Mughlai Style Chicken Tangdi Kebab,Kalmi Kabab Recipe - Mughlai Style Chicken Tangdi Kebab,"3 Chicken legs,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Fresh cream,1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 tablespoons Lemon juice,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Cashew nuts,1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1 teaspoon Black pepper powder,Salt - to taste","3 Chicken legs,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Fresh cream,1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 tablespoons Lemon juice,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Cashew nuts,1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1 teaspoon Black pepper powder,Salt - to taste",30,20,50,3,Mughlai,Appetizer,High Protein Non Vegetarian,"To begin making the Kalmi Kebab Recipe, thoroughly wash and clean the chicken leg pieces.In a mixer jar, grind the cashew nuts to a fine thick paste using little water. Transfer to a bowl and set aside.In a mixing bowl, combine yogurt, cream, ginger garlic paste, lemon juice and mix well.Add turmeric powder, cashew nut paste, cumin powder, garam masala, red chilli powder, black pepper powder and salt. Mix well to combine.Add the chicken pieces, coat well with the marinade and refrigerate to marinate for a minimum of 30 minutes or overnight. Heat some oil in a non-stick pan. Place the marinated chicken on it and shallow-fry on high heat till the underside turns deep golden in colour.Flip and cook the other side on high heat till golden. Cover and cook on medium heat for 10-15 minutes.Alternatively, you can also cook/roast the chicken in an oven/tandoor. Serve Kalmi Kebab as a party starter along with Pickled Onions and Dahi Pudina Chutney. You can also make it as a side dish with your simple meal of Lahsuni Dal and Steamed Rice.
","To begin making the Kalmi Kebab Recipe, thoroughly wash and clean the chicken leg pieces.In a mixer jar, grind the cashew nuts to a fine thick paste using little water. Transfer to a bowl and set aside.In a mixing bowl, combine yogurt, cream, ginger garlic paste, lemon juice and mix well.Add turmeric powder, cashew nut paste, cumin powder, garam masala, red chilli powder, black pepper powder and salt. Mix well to combine.Add the chicken pieces, coat well with the marinade and refrigerate to marinate for a minimum of 30 minutes or overnight. Heat some oil in a non-stick pan. Place the marinated chicken on it and shallow-fry on high heat till the underside turns deep golden in colour.Flip and cook the other side on high heat till golden. Cover and cook on medium heat for 10-15 minutes.Alternatively, you can also cook/roast the chicken in an oven/tandoor. Serve Kalmi Kebab as a party starter along with Pickled Onions and Dahi Pudina Chutney. You can also make it as a side dish with your simple meal of Lahsuni Dal and Steamed Rice.",https://www.archanaskitchen.com/kalmi-kabab-recipe-mughlai-style-chicken-tangdi
2341,आलू गाजर की सब्ज़ी रेसिपी - No Onion No Garlic Aloo Gajar Ki Sabzi (Recipe In Hindi),No Onion No Garlic Aloo Gajar Ki Sabzi (Recipe in Hindi),"2 आलू - उबालकर काट ले,2 गाजर - काट कर भाप ले,1 छोटा चमच्च तेल,1 छोटा चमच्च जीरा,1 इंच अदरक - कस ले,3 हरी मिर्च - बारीक काट ले,1/2 छोटा चमच्च हल्दी पाउडर,1/2 छोटा चमच्च लाल मिर्च पाउडर,1/2 छोटा चमच्च धनिया पाउडर,1 छोटा चमच्च निम्बू का रस,नमक - स्वाद अनुसार,3 टहनी हरा धनिया - गार्निश के लिए","2 potatoes - boil and chop, 2 carrots - cut and steam 2 teaspoons red chilli powder, 1/2 teaspoon coriander powder, 1 teaspoon lemon juice, salt - to taste, 3 sprig coriander - for garnish",10,30,40,4,Indian,Lunch,Vegetarian,"आलू गाजर की सब्ज़ी बनाने के लिए सबसे पहले साड़ी सामग्री तैयार कर ले. आलू को प्रेशर कुकर में डाले और 2 सिटी आने तक पका ले. पकने के बाद उसका छिलका निकाले और काट ले. गाजर को प्रेशर कुकर में या स्टीमर में नरम होने तक भाप ले और अलग रख दे. अब एक कढ़ाई में तेल गरम करें। इसमें जीरा डाले और 10 सेकण्ड्स तक पकाए। 10 सेकण्ड्स के बाद इसमें अदरक डाले और अगले 10 सेकण्ड्स तक पकाए। 10 सेकण्ड्स के बाद इसमें आलू, गाजर और बचा हुआ मसाला डाले। नमक डाले, मिलाए और कढ़ाई को धक् ले. आलू और गाजर के पकने तक पकाए। पकने के बाद, निम्बू का रस डाले और हरे धनिये से गार्निश करें।  आलू गाजर की सब्ज़ी को दाल फ्राई, बूंदी रायता और फुल्के के साथ दिन के खाने के लिए परोसे।
","आलू गाजर की सब्ज़ी बनाने के लिए सबसे पहले साड़ी सामग्री तैयार कर ले. आलू को प्रेशर कुकर में डाले और 2 सिटी आने तक पका ले. पकने के बाद उसका छिलका निकाले और काट ले. गाजर को प्रेशर कुकर में या स्टीमर में नरम होने तक भाप ले और अलग रख दे. अब एक कढ़ाई में तेल गरम करें। इसमें जीरा डाले और 10 सेकण्ड्स तक पकाए। 10 सेकण्ड्स के बाद इसमें अदरक डाले और अगले 10 सेकण्ड्स तक पकाए। 10 सेकण्ड्स के बाद इसमें आलू, गाजर और बचा हुआ मसाला डाले। नमक डाले, मिलाए और कढ़ाई को धक् ले. आलू और गाजर के पकने तक पकाए। पकने के बाद, निम्बू का रस डाले और हरे धनिये से गार्निश करें।  आलू गाजर की सब्ज़ी को दाल फ्राई, बूंदी रायता और फुल्के के साथ दिन के खाने के लिए परोसे।
",https://www.archanaskitchen.com/no-onion-no-garlic-aloo-gajar-ki-sabzi-recipe-in-hindi
1722,Cold Pasta Salad With Potatoes And Green Peas Recipe,Cold Pasta Salad With Potatoes And Green Peas Recipe,"1 cup Penne pasta,12 Baby Potatoes,1/4 cup Green peas (Matar),5 tablespoon Classic Mayonnaise (With Egg),1 teaspoon Black pepper powder,2 cups Iceberg lettuce - torn,1/2 Lemon - juiced,Salt - to taste,Italian seasoning - as required for garnish","1 cup Penne pasta,12 Baby Potatoes,1/4 cup Green peas (Matar),5 tablespoon Classic Mayonnaise (With Egg),1 teaspoon Black pepper powder,2 cups Iceberg lettuce - torn,1/2 Lemon - juiced,Salt - to taste,Italian seasoning - as required for garnish",10,20,30,2,Italian Recipes,Dinner,Vegetarian,"To begin with Cold Pasta Salad With Potatoes And Green Peas Recipe,  boil the pasta in 3 cups water al-dente. Once it is boiled, drain the water and keep it aside.Pressure cook the potatoes until boiled. Peel the skin of the potatoes and cut into halves.Simultaneously boil the green peas in a saucepan and keep them aside.Once everything is boiled, add pasta, green peas, potatoes and lettuce in a mixing bowl.Add mayonnaise, black pepper powder, lemon juice and salt to taste and toss. Garnish with Italian seasoning.Refrigerate Cold Pasta Salad With Potatoes And Green Peas and serve chilled. Serve Cold Pasta Salad With Potatoes And Green Peas along with Butternut Squash And Carrot Soup and Garlic bread for a weekday dinner.
","To begin with Cold Pasta Salad With Potatoes And Green Peas Recipe,  boil the pasta in 3 cups water al-dente. Once it is boiled, drain the water and keep it aside.Pressure cook the potatoes until boiled. Peel the skin of the potatoes and cut into halves.Simultaneously boil the green peas in a saucepan and keep them aside.Once everything is boiled, add pasta, green peas, potatoes and lettuce in a mixing bowl.Add mayonnaise, black pepper powder, lemon juice and salt to taste and toss. Garnish with Italian seasoning.Refrigerate Cold Pasta Salad With Potatoes And Green Peas and serve chilled. Serve Cold Pasta Salad With Potatoes And Green Peas along with Butternut Squash And Carrot Soup and Garlic bread for a weekday dinner.
",https://www.archanaskitchen.com/cold-pasta-salad-with-potatoes-recipe
